"","errors","errors","errors","errors","errors","errors","errors","errors","errors","errors","errors","errors","errors","errors","errors","errors","errors","errors","errors","errors"
"SEM_TRATADAS.SI",0.00263675763894185,0.000998626645749021,0.0410260703087295,0.040362074612532,0.0037899196583263,0.000113620291152386,0.0153953074175307,0.012035431904835,0.00829993963442047,0.23334719156893,0.611294307960238,0.00780383152943597,6.7839227135871e-08,3.9673827324474e-06,0.00184692448587745,1.88996534002827e-05,0.0156663912810589,0.00666786820984748,0.0253858341043372,2.26132884354919e-08
"DIST_SURCOS",3.69223286008037e-05,0.00707046284677236,0.479485093892653,0.0802850727027309,1.23911349268031,0.00158132875683038,2.85381590481942,2.72713433129489,2.49438406930586,0.0349242791371841,0.000350816029736355,0.0304310564854219,2.02857549849624,1.15140516676254e-05,0.00765070844370177,0.00367915308411881,0.000656459129947614,1.55731699999311e-05,2.21377055444303,0.256301369601981
"DIST_PLANTAS",0.000131415078777312,0.000303093846487741,0.000269439361816921,0.204963358097794,0.048597075669625,0.00962489926209543,0.000446611404670129,0.0006926595647066,0.00337059313369102,0.000336260813310215,0.0178022875245073,0.0187566808483128,0.180289303846476,0,6.06629480269098e-05,0.00193490757118451,2.49798665995526e-07,0.00531295763462333,0.121921619801351,0.000174358015999161
"COLOR_ENDOSPERMO.Amarillo",0.000769412132549138,0.000120103890139627,0.0186558497835588,0.0702888203714459,0.000188571927701558,9.34694514090361e-06,0.0413695823414381,0,6.8080794436052e-05,0.00153370934193701,0,0.0753683099996991,0.0787368541737839,0.000144508473318693,0.00282292692460402,0.00210921127285016,0.00126346188061833,0.00594271504172219,0.00771027267263808,0.0141333416927484
"CULT_ANT.Maiz",0.0155318427018908,0.00871235429055586,0.0382867689613939,0.158747300468984,0.107490776566234,0.100550368695644,0.000841777995965813,0.0693098116221525,0.239981273611514,0.0652236320203444,0.266130675674377,0.208222286941644,0.0320639281828445,0.254484825630865,0.0167713100164894,7.70396656650891e-05,0.0138830527166223,0.0511856337187038,0.0017260393063786,0.000305230957838697
"DRENAJE.VERDADERO",0.00166462025146499,0,0.210880375704348,0.00355835419340285,0.0868534613301339,8.00148161883586e-08,0,1.83424455631524e-05,0.00303534609276513,0.00027368826619687,0.00299051526957547,0.884108309689498,2.42065639797898e-05,0.0579207123426956,0.000949256274864458,0.0832578593483156,0.00550363988573464,0.000263215409496797,1.08731327013086e-07,6.65537382694553e-06
"POBLACION_20DIAS",0.669051264927518,0.75291266516923,0.861560652412055,0.363506003572013,0.148268466904458,0.496565921854619,0.924613098897822,0.442251174750177,5.06207518636447,0.153811934732152,2.46159573739519,2.21576578272691,1.14949760005148,0.0362870678610051,0.0894438836205961,0.0366691224954188,0.0740414441106446,0.796033664972415,1.14182982223734,0.100060776406399
"TIPO_MATERIAL.OGM",0.252753458025194,1.01399654214296,2.26731514934229,8.20653742326055,0.620197268433833,1.18197402468534,0.26116853523297,2.31406441334216,3.98722664292847,1.97818161102432,1.30596569403858,0.462048421677519,1.86157985765703,2.75690576732678,1.0707154160056,0.58907782552083,0.240802011556817,0.792750146504582,1.60438460824274,0.212733657571601
"ALMACENAMIENTO_FINCA.NO",0.309041746531327,1.21375098648457,0.0674697269116871,0.0339376162179542,0.114159418974984,0.0969851846349986,0.0461271193415711,0.0937772046667671,2.12693746771844,0.0197540623004244,0.39506984046859,0.114990836401154,0.0826332196925217,0.0563584337680047,0.0071182684167561,0.0905111121743389,0.478036926026404,1.15849063897998,0.0298941044786936,0.0470198741451921
"ContMalQui",0.0128470110025413,0.00325396962146419,0.00100202360775723,0.0107185980891545,0.000126770391877953,8.48185906517439e-05,0.000979534803033894,0.00287064506009707,0.028329511952666,0,4.3638426835147e-05,0.497897175152335,0.000585230632496418,0.133336385384405,0.00356649490527023,0.00292388784281179,0.00723872394397384,3.07006412983988e-06,0.000183990374972715,6.74515053756208e-05
"ContPlaQui",0.0149932152566017,0.0991840329733055,0.000358659290969457,0.0040162208358624,0.00599677913055859,0.00215359602678527,0.00704301361612782,5.72605424611752e-06,0.00840471510117958,0.000505856634058472,0.0687714908372452,0,0.0064739075378998,0.00390450394767079,1.51719859514894e-05,0.219127907246411,0.0156788635826495,0.0157693279393569,0.00841867155704579,0.000835796327281619
"CanFerQui",0.00416183535255748,0.00126961777653181,0.00178852168685895,0.000397548613774409,0,0.00156265914689866,0.000166310865532503,2.02485524326176e-05,0,0.000282447179248765,0.000916245380131067,0.632402740617413,0.000438696888993265,0.000174681612017724,0.000905219789807008,0.000157213218748715,0.000278606376501821,0.0678814687001749,0.00115197979073417,6.93569553783182e-05
"PENDIENTE",2.5757567791801,5.5821091082703,4.903553096923,5.68976474945412,3.29801254282433,0.129023866373069,0.360830568514379,0.701861786424611,0.616571870024187,0.508408631942493,0.851988631385091,1.18134925962357,3.66313749192683,0.58581174706976,1.00540938434307,2.66955208848273,1.42768801243433,2.04426226276295,2.02970834461449,0.0411549652113264
"PH",0.00209945764293138,0.00406400924402705,0.0293630200854928,0.0195773108383126,0.065641527918857,0.0316503844027203,0.00635800251306857,0.00371166363250824,0.00153707542360716,0.000580437425314367,0.00542454779772948,0.0395102261520005,0.000869220847966322,3.33420484661729e-05,0.176125363430685,0.199299087611274,0.0314183034411759,0.0297315459758888,0.143273518076847,0.000904402742242964
"MAT_ORGANICA.MEDIA",0.0523568151259335,0.168944417560545,0.0573008932349007,0.0895846643437437,0.000330945620871558,0.526348930095647,0.0102260239920999,0.659333966017684,0.655563053173787,0.136639669909742,0.547494282324534,0.0119203577616433,0.0436177337616,0.150167669682304,0,0.0369573986022198,0.0433631115160149,0.00119542002701056,0.409495749053696,0.001247263110389
"PROF_EFEC",2.25851114950854e-05,0.00811274391144569,0.10580199183347,0.013154723834938,7.99816756585828e-06,0,0.000176875375742107,0.176724859650645,0.00900526843537178,0.243135697112373,0.118092946191677,0.468611537995417,7.98309501721015e-05,0.000145030581140554,0.266959774547536,0.000421540329975294,0.0217639724133672,0.41526545750142,0.0453861693952368,0.000973916008513423
"PText.A",0,0.0245275682484938,0,0.0010850688764783,0.014825638348568,0.0921949249598724,0.100388630121142,0.215159132520468,0.000191426304419923,0.0053001879225225,0.117825240800874,0.115751950298211,0.00194734002244352,0.000145752901374608,0.00388911337797315,0.00626503689836804,4.63457386411333e-08,0.314184264614136,2.14959948055372,0.0130501348077688
"PText.AF",1.36222897441441,3.76537953907356,1.78675377905261,4.80114154642053,2.70427534121099,2.65066189319792,1.19291514897918,0.921101166445605,3.02523256968033,1.39506370290421,1.58571051836281,2.77513735899615,0,1.4578500604147,2.11401382363571,0,0,0,0,0.278806971323005
"PText.Ar",0.288381470984143,0.032012185198953,0.0431479816478645,0.00010915386206499,0.150860966909263,0.206734225299636,0.322271044368958,0.0283169297877473,1.31914913392075,0.00464880396619675,1.13602228873877,0.00484531229810872,0.172050078369419,0.0387731624090663,0.0363457082137945,0.0214945312272794,0.0317495928845125,0.0773053304888632,0.000277626202515071,0.0116327761966943
"PText.ArA",0.261296790991434,0.508758401146458,0.000375745397711534,0.0265634561852878,0.447522430563286,1.86955434579922,0.50478430157951,0.192344818119456,0.170250544711686,0.00461922336692885,0.0303537100849118,0.0553294960092063,0.531914556940839,0.583190196379051,0.68223207472661,0.0575041551647899,0.030181429041366,1.56026421079534e-07,0.133896638648598,0.0630264716715648
"PText.ArL",0.104479115540578,0.0329735435256969,0.0388307026720256,0.00185305618765814,0.213571243964938,0.0605374680205038,0.00712528514209622,0.0162954239113526,0.200464942072621,0.0121035828539166,0.0452347338746191,0.107872926982762,0.0171679357269224,0.0631919887848476,0.00191336148425452,1.79786947343056e-06,0.006138000213671,0.000210335074864097,0.0200248342553688,0.000313584286003029
"PText.FA",1.18968201226535,1.63160096245328,1.77725939537304,3.8176010325317,0.615085413179779,1.41040139138133,2.29188719336842,2.07786641914321,0.927650048043946,6.6170530771051,1.00245688849644,0.0792438168148117,0.576860943540646,0.0620962381351963,0.678947212289076,1.38123590314949,0.645730238778896,0.361674964027174,2.20579658411449,0.0289109050013264
