"","Overall","Overall","Overall","Overall","Overall","Overall","Overall","Overall","Overall","Overall"
"SEM_TRATADAS",0.198886176252945,0.317995149087442,0.0641115391485662,-0.0198884306481983,0.857511620690836,-0.393818467245965,-0.0955991803736178,0.0160950068904795,-0.0174668970158973,-0.252471120218196
"DIST_SURCOS",0.155896347141029,0.618104832807576,1.53475458853088,-0.106955733812501,0.0147057914626185,2.09202234281071,3.67638794759032,0.0414783207961908,0.168040923328263,0.282479881923422
"DIST_PLANTAS",0.184001094134993,0.0920197817313105,1.85099015683411,0.0485773011519714,0.707236297018289,0.253466964206361,0.176600361694381,0.341760053634912,0.144210039751204,0.111743929930457
"COLOR_ENDOSPERMO",-0.326133485195613,-0.01905757520289,-0.71051848653131,-0.120637388793741,-0.0425069935326311,-0.109101910794261,0.0208042696807806,-0.0892764765393325,-0.0350219584328258,-0.34197030724036
"CULT_ANT",0.177387596506689,-0.00757749230837091,0.202204033309089,-0.0105093213739982,0.116371805815265,0.495545961178411,0.106703577971812,-0.207407194476038,0.0309868493453028,-0.0667513030774185
"DRENAJE",0.0158171855652392,-0.0575508296834382,-0.199375694999493,0.0139024435597645,-0.137001375456584,0.322431538059871,-0.107687179952885,-0.146749666754016,-0.0358270885182033,0.0398211117273413
"POBLACION_20DIAS",0.197816904563652,0.230116821093887,-0.291336152438743,0.0905303385694354,0.0456900729960946,0.180909300279123,-0.0398714623454215,0.114488539614422,0.0266764758057485,0.39346605539745
"TIPO_MATERIAL",1.27620297222229,4.07611140700679,5.09397361174476,0.453890634627832,9.47008949956118,3.91423398769586,2.0138384587908,0.902392403162123,2.98200297830664,3.11524200601736
"ALMACENAMIENTO_FINCA",0.0886703218851787,0.174408890201604,-0.138840876914215,0.00732959565145547,-0.0762931003842448,-0.0164250378237933,-0.0122184397846176,0.162395789895063,-0.0371880577610122,1.60690891459184
"ContMalQui",0.120076262395896,-0.0490036468129783,-0.507526857658533,0.045185249642923,-0.117240549395696,0.204280413600295,0.0427945027298897,-0.372730680189572,-0.055704392138936,-0.166715897909339
"ContPlaQui",0.030365839610825,0.0723836258479896,0.006590749545392,-0.0968868404728899,2.41256027457934,-0.229185146895152,-0.0917433085490153,-0.339739469748281,-0.0262695280731332,0.50506724869428
"CanFerQui",-0.0326328352473133,0.0675848969532054,-0.00035204391733454,-0.139608615936978,-0.318763761497304,0.127459132510575,-0.0930187591556764,0.00898946998663678,-0.0331312220039213,-0.0916787056982266
"PENDIENTE",3.82050927354075,1.79654141418032,5.02579417990315,3.35841011154549,5.05472539952828,10.2684315614432,2.37431519091328,8.50479914198161,2.26812913081873,3.48829706120289
"PH",0.00787983699757306,-0.0847506973533268,-0.0612252882778618,0.272092479291316,-0.0138023845941141,0.0294227890869949,-0.00389991766874487,0.894366561480969,-0.0920648967696688,0.0198196811080455
"MAT_ORGANICA",0.767967651663022,0.358863738369072,-0.0270172015838371,0.32494713377777,-0.116795007584975,-0.0465662068616765,-0.0449475843359496,0.194548441178112,0.158707688494424,0.40511212464951
"DRE_INTERN",3.92866498420257,1.27840612770041,5.56640349239794,1.50960808086388,3.27209891033183,3.05958952354737,1.15077790329932,0.679346267920936,3.32870223747111,3.23833721825131
"PROF_EFEC",1.66075776707447,0.352442884554271,-0.114347036667859,-0.100800476193909,0.157920381400337,1.21216077332173,0.448503575514604,0.120001477222865,0.129913956331935,0.0501489952533566
"PText",2.47766308023122,2.51955579965149,13.2095480851414,1.57313689806778,0.86540378357513,12.5842080438004,3.7571381151814,2.88466739275394,3.4895380503752,3.05037718980009
"Temp_Max_Avg_Veg",-0.00458080380690432,-0.035047659487466,-0.034414771720081,-0.0255285722141721,-0.225335128076117,-0.167992748791808,0.0243549195815912,-0.014454523077162,0.0393675581381322,-0.142081051538421
"Temp_Min_Avg_Veg",0.0371546120434198,0.0466153537854057,0.0443141867640919,-0.0241658294224263,-0.00523320715729257,0.0153737507495153,0.709372880804048,-0.145169222672074,0.181415164994441,0.196262654581851
"Temp_Avg_Veg",0.0212783943702083,0.0374224880008373,-0.0567798838776972,-0.0380510441511169,0.144004848342382,-0.0680592348769204,-0.0017257904957493,0.162782259019816,0.000541929259596879,-0.0558688498908902
"Diurnal_Range_Avg_Veg",-0.07993828916461,-0.00529550874683516,-0.00185593632116842,-0.0266557897601293,-0.0288676958827249,-0.00268036126420644,-0.0184313585148195,-0.180507335781491,-0.02176235255352,0.143902514200161
"Sol_Ener_Accu_Veg",-0.123117971873726,-0.0550964743899244,0.325648386673912,-0.0309959405259402,0.0391154685183283,0.285450901906471,-0.0816907400859603,-0.0995501356410302,0.0238547045133896,-0.132343213461181
"Rain_Accu_Veg",0.0290531565532787,0.000435465677637099,0.0172514208899935,0.00749946667421272,0.144865189690477,0.473429049211992,-0.0937148806496503,-0.00705950531693264,0.0332377845898518,-0.0451658109024823
"Rain_10_Freq_Veg",-0.00406760741463078,-0.0105599990356006,-0.199268951280978,0.00472566820181576,-0.277141019991031,0.0794908374662503,-0.0255895431670708,-0.180853516360813,-0.0786955880556358,-0.0391836463747858
"Rhum_Avg_Veg",0.0533449328860774,-0.0334819357793963,-0.403988550181185,0.0212178923271225,-0.16984671737236,-0.131092096223244,-0.0177448165140048,0.0708499472218287,0.00339410307888908,0.154395445587384
"Rhum_sd_Veg",-0.167512215491079,0.108375496674188,0.440109591487439,0.0498598663645517,-0.310353366336341,-0.156323122314924,0.203497396731256,-0.0983651125100117,-0.0717130071897649,0.0914278480245812
"Temp_Max_Avg_For",0,0.0937553203178685,-0.362615614022055,-0.00914211837628512,-0.222682417212028,-0.0470441829986712,-0.0247910014075178,0.104695797919833,-0.0172022262869342,0.0847423034091817
"Temp_Min_Avg_For",-0.355403392606797,0.0486696274881025,-0.228550849106931,-0.0760091123542517,-0.019793879263268,0.116216648415074,-0.102025261669169,-0.0418109234490864,-0.0631659455075447,-0.033596457260931
"Temp_Avg_For",0.0996179965673927,0.0282338024304608,0.289071761529624,0.0265190792831282,-0.223984955619677,0.236579846082317,-0.0310679662306589,-0.0760220407999525,0.0399527240987866,0.0632664479645082
"Diurnal_Range_Avg_For",-0.0363710948983342,-0.00345126845562197,0.0870452925627239,-0.0443047038044754,-0.088007588364002,-0.100240171260579,-0.0630189532660494,0.0666162173343606,-0.0870470232628007,-0.0205087346364802
"Sol_Ener_Accu_For",-0.012901696969573,-0.0223377918709969,0.0900907997025237,0.0125709599296154,-0.146894259163279,-0.227582204182916,0.0433292770293393,-0.0615687805718409,0.0947528812437875,-0.0788746075465112
"Rain_Accu_For",0.884428557911931,0.425743050423168,1.02197761224374,0.543567211704624,0.910796232637648,0.707459197626214,0.54394755680984,0.440350209653088,0.18246920695053,0.606031167076897
"Rain_10_Freq_For",0.916998725622946,0.0394553603311367,-0.00156378927300944,-0.0512924230220901,0.48832676654391,0.106007630254029,0.219346573094257,0.0595004513867939,-0.0317190466228127,0.321248350877095
"Rhum_Avg_For",0.134295109927375,0.0158927501655197,0.154856364162325,0.0512302430205149,-0.0240441492918242,0.0323025452754355,-0.00188753858452574,0.225682095187239,-0.0930534680390677,0.105735025186256
"Rhum_sd_For",-0.0323207281186881,-0.208806659333587,0.326616143113592,-0.0253529389593133,-1.36151502095126,0.0451590592984131,-0.0310151948804935,0.0664778099472243,0.024249859776175,0.0842903731030482
"Temp_Max_Avg_Mad",0.602101853084378,2.75513200363427,0.743033828808197,0.161925743957256,0.928452987385291,1.01743110715541,0.553763200972633,1.54068787980588,-0.000316119397911285,0.756068312583235
"Temp_Min_Avg_Mad",-0.21606856109018,-0.0244351743887417,-0.0726551256218221,-0.0886258950893802,-0.114638250062622,0.157384608930702,0.00260655472096555,-0.0574977901799559,-0.0924001000924096,-0.216077324512011
"Temp_Avg_Mad",0.133744736009363,1.02504625142105,0.807344677610158,0.168064774531631,0.480125425273991,0.409613046845255,0.102955179420817,0.800174126986622,-0.032919176429254,0.114496075948772
"Diurnal_Range_Avg_Mad",1.45368674760508,2.23501290209816,-0.259726116088663,0.214347217759288,2.10915988950305,0.964010570188427,0.36524485182145,0.868910722604872,0.409141589594006,3.06494765498476
"Sol_Ener_Accu_Mad",0.0588012913605766,-0.299243560342726,0.194238293812996,0.289441092500543,1.0311039994039,0.271723762952076,0.271264525733177,-0.25115709177098,0.068371827192209,-0.0820949500894742
"Rain_Accu_Mad",0.859092106787236,-0.066219214174783,2.01376275426288,0.0794534821737664,5.09596926909748,0.880546467020113,0.453764683042955,2.22434350828404,0.582412172616727,0.596542627246671
"Rain_10_Freq_Mad",0.000672790533468036,-0.0247744784464583,-0.104150219875646,0.00402095911349743,0.214858560932037,-0.0368684815254033,-0.050150369056383,0.235332065889668,0.00356685321561584,-0.0622035367286659
"Rhum_Avg_Mad",-0.0016876147587777,-0.0534400821289482,-0.374911553646777,0.00573143654541285,0.457666049903032,0.0746016318471898,-0.0215864654027452,0.304571760760319,-0.0464327377253639,-0.0717811584430551
"Rhum_sd_Mad",0.180778365808851,0.00438490461573863,0.135984750886735,-0.0357922665005423,0.208572687753405,-0.260846365019067,-0.121505921988137,0.0697134899539712,0.00633061068875049,0.0639057765277169
"TotN",-0.182612826106298,-0.0610266845232456,0.648623567045354,-0.264906821213123,-0.522231972669922,-0.412536975567654,-0.245723460382114,-0.163208789578282,-0.03360591663274,-0.371804703269477
"Totp",-0.0239701363510226,-0.0919994688576333,-0.629983641745698,-0.227659777650358,-0.0275628599433037,-0.473069360142183,0.249315239393558,-0.201816111547059,-0.0269781973873757,0.46998157067581
