"ID","SEM_TRATADAS","DIST_SURCOS","DIST_PLANTAS","COLOR_ENDOSPERMO","CULT_ANT","DRENAJE","POBLACION_20DIAS","TIPO_MATERIAL","ALMACENAMIENTO_FINCA","ContMalQui","ContPlaQui","CanFerQui","PENDIENTE","PH","MAT_ORGANICA","DRE_INTERN","PROF_EFEC","PText","Temp_Max_Avg_Veg","Temp_Min_Avg_Veg","Temp_Avg_Veg","Diurnal_Range_Avg_Veg","Sol_Ener_Accu_Veg","Rain_Accu_Veg","Rain_10_Freq_Veg","Temp_Min_15_Freq_Veg","Rhum_Avg_Veg","Rhum_sd_Veg","Temp_Max_Avg_For","Temp_Min_Avg_For","Temp_Avg_For","Diurnal_Range_Avg_For","Sol_Ener_Accu_For","Rain_Accu_For","Rain_10_Freq_For","Temp_Min_15_Freq_For","Rhum_Avg_For","Rhum_sd_For","Temp_Max_Avg_Mad","Temp_Min_Avg_Mad","Temp_Avg_Mad","Diurnal_Range_Avg_Mad","Sol_Ener_Accu_Mad","Rain_Accu_Mad","Rain_10_Freq_Mad","Temp_Min_15_Freq_Mad","Rhum_Avg_Mad","Rhum_sd_Mad","TotN","Totp","Totk","RDT"
"1654","SI",0.8,0.14,"Amarillo","Maiz","FALSO",73745,"Hibrido","NO",4,3,7,1,6,"BAJA","LENTO A MUY LENTO",25,"FAr",32.66987585,22.68201163,27.67594374,9.987864217,43043.67839,293.1,0.096153846,0,80.16269607,4.899791597,32.21528481,22.70548683,27.46038582,9.509797976,23631.36738,204.6,0.1,0,81.85694613,4.355004033,32.24850272,22.82094707,27.53472489,9.427555643,21579.31702,138.8,0.058823529,0,82.03950913,4.535126611,150,44,90,5000
"1658","SI",0.8,0.14,"Amarillo","Maiz","FALSO",75000,"Hibrido","SI",6,1,8,3,6,"BAJA","LENTO A MUY LENTO",23,"FA",30.92080646,24.90297153,27.91188899,6.017834922,31225.12832,298.3,0.115384615,0,66.86951092,7.010920198,30.38629116,24.61969622,27.50299369,5.766594936,15338.49196,161,0.1,0,70.31549893,4.485559845,33.6560659,24.16663768,28.91135179,9.489428221,714.2727273,6.1,0,0,72.29891304,1.219219049,188,5,120,5500
"1660","SI",0.8,0.14,"Amarillo","Maiz","FALSO",72250,"Hibrido","NO",1,1,7,2,6,"MEDIA","LENTO A MUY LENTO",25,"FA",32.97123535,22.64776922,27.80950229,10.32346614,43755.11234,263.1,0.086538462,0,79.28325468,5.650769971,32.01597461,22.61946664,27.31772063,9.39650797,23325.24153,160.6,0.066666667,0,81.66834494,4.417434558,32.91770937,22.9375956,27.92765249,9.980113777,16085.51757,127.8,0.108108108,0,80.09822442,3.809215369,160,23,78,6500
"1662","SI",0.8,0.14,"Amarillo","Maiz","FALSO",75000,"Hibrido","SI",6,2,9,2,5,"BAJA","LENTO A MUY LENTO",26,"FA",32.81184305,22.68260768,27.74722537,10.12923537,43266.02559,301.9,0.096153846,0,79.81063767,5.166437346,32.14008076,22.72857279,27.43432677,9.41150797,23696.60469,182.2,0.083333333,0,81.85943242,4.30357956,32.60776319,22.7508103,27.67928674,9.856952888,16338.20247,100.6,0.078947368,0,80.77645968,4.048386273,206,51,120,6000
"1665","SI",0.8,0.14,"Blanco","Maiz","FALSO",85600,"Hibrido","NO",4,2,4,1.5,5,"BAJA","LENTO A MUY LENTO",25,"FAr",32.96394231,22.64239925,27.80317078,10.32154306,43581.59318,315.9,0.096153846,0,79.20228674,5.819253834,32.06166667,22.64682536,27.35424601,9.414841304,23452.5549,161.6,0.066666667,0,81.46272274,4.528519888,32.95568273,22.8557004,27.90569157,10.09998233,15194.12183,100.6,0.085714286,0,80.07532267,4.104047117,36,120,40,5400
"1666","SI",0.8,0.14,"Amarillo","Maiz","FALSO",85000,"Hibrido","NO",2,2,4,2.5,6,"MEDIA","LENTO A MUY LENTO",20,"FA",32.96394231,22.64239925,27.80317078,10.32154306,43581.59318,315.9,0.096153846,0,79.20228674,5.819253834,32.06166667,22.64682536,27.35424601,9.414841304,23452.5549,161.6,0.066666667,0,81.46272274,4.528519888,32.95568273,22.8557004,27.90569157,10.09998233,15194.12183,100.6,0.085714286,0,80.07532267,4.104047117,58,24,92,5400
"1669","SI",0.8,0.14,"Amarillo","Maiz","FALSO",85500,"Hibrido","NO",3,0,7,1.5,7,"MEDIA","LENTO A MUY LENTO",24,"FA",32.96394231,22.64239925,27.80317078,10.32154306,43581.59318,315.9,0.096153846,0,79.20228674,5.819253834,32.06166667,22.64682536,27.35424601,9.414841304,23452.5549,161.6,0.066666667,0,81.46272274,4.528519888,32.90033472,22.90852473,27.90442973,9.991809994,17669.81759,130,0.097560976,0,80.20357648,3.978294009,174,64,138,5600
"1672","SI",0.8,0.14,"Blanco","Maiz","FALSO",85550,"Hibrido","NO",5,0,6,1.5,6,"MEDIA","LENTO A MUY LENTO",22,"FAr",32.37320888,22.7467215,27.55996519,9.626487384,42361.47163,295.4,0.076923077,0,81.03831731,4.308681749,32.40356206,22.79598393,27.599773,9.607578133,25088.33704,160,0.083333333,0,81.11799209,4.189578304,32.16538908,22.82991528,27.49765218,9.335473798,7729.823863,31.2,0,0,83.19435354,3.603831265,146,40,40,5500
"1673","SI",0.8,0.14,"Amarillo","Maiz","FALSO",85589,"Hibrido","NO",4,0,4,1.5,5,"MEDIA","LENTO A MUY LENTO",20,"FA",32.5793163,22.66595227,27.62263429,9.913364038,43085.5284,283.2,0.076923077,0,80.65362537,4.562487736,32.32414826,22.6526506,27.48839943,9.671497665,24618.43881,189.8,0.1,0,81.53006719,4.386896005,31.80495918,22.88938105,27.34717011,8.915578121,6889.151694,44.6,0.058823529,0,82.19423149,2.575219565,110,48,24,5500
"1675","SI",0.8,0.14,"Blanco","Maiz","VERDADERO",73200,"Hibrido","NO",2,1,5,2,6,"BAJA","LENTO A MUY LENTO",22,"ArA",31.39415087,24.38269003,27.88842045,7.011460833,40250.48813,55.1,0.009615385,0,72.60887101,12.24950508,32.19349819,24.56114275,28.37732047,7.632355435,24580.74855,52.2,0.016666667,0,65.85208333,11.09733044,33.05777862,25.26210174,29.15994018,7.795676884,20020.16227,43,0.04,0,54.54,9.054637629,146,18,52,5000
