"","DIST_SURCOS","DIST_PLANTAS","POBLACION_20DIAS","ContMalQui","ContPlaQui","CanFerQui","PENDIENTE","PH","PROF_EFEC","Temp_Max_Avg_Veg","Temp_Min_Avg_Veg","Temp_Avg_Veg","Diurnal_Range_Avg_Veg","Sol_Ener_Accu_Veg","Rain_Accu_Veg","Rain_10_Freq_Veg","Rhum_Avg_Veg","Rhum_sd_Veg","Temp_Max_Avg_For","Temp_Min_Avg_For","Temp_Avg_For","Diurnal_Range_Avg_For","Sol_Ener_Accu_For","Rain_Accu_For","Rain_10_Freq_For","Rhum_Avg_For","Rhum_sd_For","Temp_Max_Avg_Mad","Temp_Min_Avg_Mad","Temp_Avg_Mad","Diurnal_Range_Avg_Mad","Sol_Ener_Accu_Mad","Rain_Accu_Mad","Rain_10_Freq_Mad","Rhum_Avg_Mad","Rhum_sd_Mad","TotN","Totp","Totk","RDT"
"DIST_SURCOS",1,0.210919795031242,-0.463903878938511,-0.082611776602739,0.118875302749982,0.21293336947636,-0.0282568551484464,0.124719776927756,0.345978091645636,0.634049134531969,-0.313713740852323,0.527005072456633,0.615336355584108,-0.419775412332593,-0.430682200711314,-0.424367726817773,-0.356507989338899,0.0474871712789207,0.591180612978019,-0.502177553297971,0.439730267304086,0.62508164661269,-0.385238131292591,-0.425199909078253,-0.407944458607968,-0.271288427672757,-0.0571242143516335,0.611186812160479,-0.303886310161627,0.510258517655365,0.625512869850786,-0.19071514990546,-0.284271923336477,-0.278931750441595,-0.265344629669679,0.108710596204957,0.202650190927395,0.120710101986888,-0.0351718832100327,-0.312137400261574
"DIST_PLANTAS",0.210919795031242,1,-0.241134784548571,-0.332170943193099,0.378057906513561,-0.200403240904436,-0.101940881301731,0.00923331988646425,0.0955796613282505,0.0670077309497566,-0.0302975250148537,0.0572057154316474,0.0639477656537838,-0.352726229393954,0.0688846742883347,0.052080691326478,-0.111009224732067,-0.0160529007456928,-0.0105708385580431,0.0478895662986394,0.0129245303463055,-0.0244862756077331,-0.374712403346922,0.0256996326759325,0.064121284033019,-0.0595730417027047,-0.0192299533921846,0.261310714865183,-0.128284447562665,0.218807208633279,0.266895493433518,0.001527646324378,-0.0325601210957909,-0.0702617978054155,0.0103222928230205,0.0563224073245534,0.0346773052926233,0.03546053183721,-0.310070963284939,-0.127108557805381
"POBLACION_20DIAS",-0.463903878938511,-0.241134784548571,1,0.0611086645320782,-0.324814849542131,-0.116765456575469,0.0832179233918291,-0.234510707975433,-0.472880818619279,-0.429550961786476,0.175550495299027,-0.376589585767097,-0.402860444503592,0.189242390824813,0.165080981474388,0.148375457096556,0.2497932748036,-0.195534749683639,-0.404668039388341,0.28980073212355,-0.329817945941076,-0.409422002959577,0.203564582018867,0.307329673166206,0.253023035859,0.191071542369146,-0.170043027006542,-0.570354550916363,0.261640269167289,-0.484834390395848,-0.57649898408534,0.0298197534616307,0.303920109134666,0.224611484353415,0.283284720142657,-0.273590263911925,-0.271356034083431,0.232979282364885,0.0872063027148377,0.305621718406091
"ContMalQui",-0.082611776602739,-0.332170943193099,0.0611086645320782,1,-0.0746244758814982,0.309221215517003,-0.0529220139938984,-0.110466118796977,-0.0467265044535247,-0.0310875843963883,-0.130167326038803,-0.102813152845962,0.0249808795226945,0.163114736884158,0.188676927869904,0.230071021456823,0.142450926663329,-0.289184740654572,-0.0999245352809972,-0.11692185399901,-0.182136223421966,-0.0366279401139348,0.0677150484083934,0.169197196224521,0.204587651544073,0.229424436049664,-0.239877518996203,-0.106073182965347,-0.0994956773005207,-0.148672239152868,-0.0584394226695261,-0.238549497760643,0.0167132073992298,0.0187432642156636,0.192460459644745,-0.347205558974632,0.168547841219099,-0.0562963660686911,0.14981407794361,0.0405506499872423
"ContPlaQui",0.118875302749982,0.378057906513561,-0.324814849542131,-0.0746244758814982,1,-0.0285390322555973,-0.226757427786457,0.169046698199468,0.328603086257077,0.233981794295262,-0.252179498306747,0.122338460573049,0.278764530817288,-0.0748056182821501,0.134791229719835,0.136015231879743,-0.0262435989287263,-0.0573849306047406,0.169136710436687,-0.244438315915689,0.0719740835218788,0.21330266142201,-0.164286204813276,-0.0210854149709709,0.0407170719024301,0.0446508323798927,0.0806587206005374,0.363147192702202,-0.358593920664688,0.232876014619131,0.430272941050608,0.00380426711894818,-0.0825567706212913,-0.0126102845685539,0.0853899354457799,0.0740519710336608,-0.0261960706536547,-0.0948575399782115,-0.0880430849724891,-0.167007279824437
"CanFerQui",0.21293336947636,-0.200403240904436,-0.116765456575469,0.309221215517003,-0.0285390322555973,1,0.146678620568043,-0.115046527263221,-0.19839136103846,0.136956036087525,-0.143872646404852,0.0735833687913502,0.161753353307752,-0.253740300495919,-0.134117010685357,-0.0917829855047921,-0.077793502130741,-0.273607989754702,0.0864274273357795,-0.278808953312922,-0.0454427195762263,0.16163850259598,-0.290807639087325,0.102606836260226,0.0655776850391694,0.080392535340033,-0.419271002615414,-0.0553816700468692,-0.311900933833367,-0.18027423695082,0.0550717995733024,-0.121063006268882,0.0540327910831995,-0.0502596678557685,0.25720214885459,-0.400764772810835,0.66791033867918,0.12778549209811,0.585872828599309,0.0636137923455483
"PENDIENTE",-0.0282568551484464,-0.101940881301731,0.0832179233918291,-0.0529220139938984,-0.226757427786457,0.146678620568043,1,-0.197796609822519,-0.296827989610149,-0.139203065354532,0.419193922209778,0.0695655711158508,-0.267836821760602,-0.400859672796088,-0.282933072337245,-0.284303229920441,-0.321338552878396,0.211996651388311,-0.0933285329153344,0.331936773764666,0.0655606889045741,-0.185102611859942,-0.364381977971066,-0.053707737505977,-0.14494568842978,-0.315603537217071,0.0467849338939893,-0.131473595529085,0.31136469401395,-0.0126233635697407,-0.215543352671494,0.0295329289474677,-0.0273605995756319,-0.146615410685575,-0.170827533286283,-0.243871730916303,0.00572110978147274,0.0969038634731173,0.0994363528673757,0.406295160303784
"PH",0.124719776927756,0.00923331988646425,-0.234510707975433,-0.110466118796977,0.169046698199468,-0.115046527263221,-0.197796609822519,1,0.388895340545964,0.117492664062219,-0.0538633877807886,0.0999147342158564,0.11240732535506,0.0626918673173765,-0.0170900946519806,-0.0106966473545638,-0.0805053154052808,0.265468349771662,0.142318815052295,-0.105584999618235,0.11403703371583,0.145244086503896,0.0630596502172984,-0.242550779289712,-0.190142890409642,-0.0895876129971099,0.259151758441328,0.304098794422688,-0.0040925941754093,0.311971718158762,0.26279516117677,0.00399347483273833,-0.252206139728755,-0.151340454401473,-0.265949983944265,0.28585131381739,-0.012671654047843,-0.130716202914615,-0.0334224920024163,-0.17944465588463
"PROF_EFEC",0.345978091645636,0.0955796613282505,-0.472880818619279,-0.0467265044535247,0.328603086257077,-0.19839136103846,-0.296827989610149,0.388895340545964,1,0.280899735087673,-0.388590163436356,0.101470979145297,0.367189973394154,0.187980968279925,0.0335524106962519,0.051020232577543,0.0950721593932042,0.0783873241215904,0.27599706275193,-0.378908209536877,0.128113767604969,0.341237648154965,0.177294914749584,-0.347661298215828,-0.241546090995121,0.0239478433785806,0.230388207620248,0.461571489870129,-0.230148560396833,0.385092438429294,0.472605267255231,-0.136701755209059,-0.233228967198201,-0.0285248979376425,-0.185723497791797,0.239690835250367,-0.0155108027209355,-0.125028609406352,-0.213032757802078,-0.256730038767301
"Temp_Max_Avg_Veg",0.634049134531969,0.0670077309497566,-0.429550961786476,-0.0310875843963883,0.233981794295262,0.136956036087525,-0.139203065354532,0.117492664062219,0.280899735087673,1,-0.410054251594759,0.875980457892775,0.938383452296271,-0.26246069416337,-0.394630723868889,-0.378520987527118,-0.574259505100063,0.19314662627236,0.961510711211116,-0.646244720516024,0.806280659090437,0.958325383388014,-0.316611492152474,-0.398135880025888,-0.382321366035909,-0.387131172901426,0.0216784390796201,0.864162241215767,-0.438473460400841,0.717981516623845,0.887317148577271,-0.137490827983428,-0.244580522273101,-0.261365960044366,-0.296173251962546,0.13618581593942,0.1297879284625,-0.0768403037640036,-0.0433321791390616,-0.256799618254992
