"","SEM_TRATADAS.SI","DIST_SURCOS","DIST_PLANTAS","COLOR_ENDOSPERMO.Amarillo","CULT_ANT.Maiz","DRENAJE.VERDADERO","POBLACION_20DIAS","TIPO_MATERIAL.OGM","ALMACENAMIENTO_FINCA.NO","ContMalQui","ContPlaQui","CanFerQui","PENDIENTE","PH","MAT_ORGANICA.MEDIA","PROF_EFEC","PText.A","PText.AF","PText.Ar","PText.ArA","PText.ArL","PText.FA","PText.FAr","PText.FrL","PText.L","Rain_Accu_Veg","Sol_Ener_Accu_For","Rhum_sd_For","Temp_Min_Avg_Mad","Sol_Ener_Accu_Mad","Rain_10_Freq_Mad","Rhum_sd_Mad","TotN","Totp","Totk","output"
"1654",1,0.8,0.14,1,1,0,73745,0,1,4,3,7,1,6,0,25,0,0,0,0,0,0,1,0,0,293.1,23631.36738,4.355004033,22.82094707,21579.31702,0.058823529,4.535126611,150,44,90,5000
"1658",1,0.8,0.14,1,1,0,75000,0,0,6,1,8,3,6,0,23,0,0,0,0,0,1,0,0,0,298.3,15338.49196,4.485559845,24.16663768,714.2727273,0,1.219219049,188,5,120,5500
"1660",1,0.8,0.14,1,1,0,72250,0,1,1,1,7,2,6,1,25,0,0,0,0,0,1,0,0,0,263.1,23325.24153,4.417434558,22.9375956,16085.51757,0.108108108,3.809215369,160,23,78,6500
"1662",1,0.8,0.14,1,1,0,75000,0,0,6,2,9,2,5,0,26,0,0,0,0,0,1,0,0,0,301.9,23696.60469,4.30357956,22.7508103,16338.20247,0.078947368,4.048386273,206,51,120,6000
"1665",1,0.8,0.14,0,1,0,85600,0,1,4,2,4,1.5,5,0,25,0,0,0,0,0,0,1,0,0,315.9,23452.5549,4.528519888,22.8557004,15194.12183,0.085714286,4.104047117,36,120,40,5400
"1666",1,0.8,0.14,1,1,0,85000,0,1,2,2,4,2.5,6,1,20,0,0,0,0,0,1,0,0,0,315.9,23452.5549,4.528519888,22.8557004,15194.12183,0.085714286,4.104047117,58,24,92,5400
"1669",1,0.8,0.14,1,1,0,85500,0,1,3,0,7,1.5,7,1,24,0,0,0,0,0,1,0,0,0,315.9,23452.5549,4.528519888,22.90852473,17669.81759,0.097560976,3.978294009,174,64,138,5600
"1672",1,0.8,0.14,0,1,0,85550,0,1,5,0,6,1.5,6,1,22,0,0,0,0,0,0,1,0,0,295.4,25088.33704,4.189578304,22.82991528,7729.823863,0,3.603831265,146,40,40,5500
"1673",1,0.8,0.14,1,1,0,85589,0,1,4,0,4,1.5,5,1,20,0,0,0,0,0,1,0,0,0,283.2,24618.43881,4.386896005,22.88938105,6889.151694,0.058823529,2.575219565,110,48,24,5500
"1675",1,0.8,0.14,0,1,1,73200,0,1,2,1,5,2,6,0,22,0,0,0,1,0,0,0,0,0,55.1,24580.74855,11.09733044,25.26210174,20020.16227,0.04,9.054637629,146,18,52,5000
"1676",1,0.8,0.14,0,1,1,71800,0,1,3,0,5,2,6,0,21,0,0,0,0,1,0,0,0,0,61.2,24474.21267,10.80725158,25.28151906,16724.56896,0.023809524,8.388733111,146,18,52,6000
"1677",0,0.8,0.14,0,0,1,75600,0,1,3,0,3,3,6,0,19,0,0,0,0,1,0,0,0,0,61.2,24474.21267,10.80725158,25.35305427,29386.36322,0.08,8.668337172,116,0,17,6000
"1678",0,0.8,0.14,0,0,0,78000,0,1,2,1,4,1,6,0,18,0,0,0,0,1,0,0,0,0,0,22549.39987,6.467450493,24.3647413,16481.78204,0,11.47485013,122,58,18,5000
"1679",0,0.8,0.14,0,0,0,78500,0,0,2,0,6,2,5,0,22,0,0,0,0,0,1,0,0,0,0,22431.82738,7.669035244,24.34498429,16387.28481,0,6.324584424,134,76,76,3500
"1681",1,0.8,0.14,0,0,1,78600,0,0,3,0,5,2,5,1,22,0,0,0,0,0,1,0,0,0,0,22850.7823,6.409412493,24.48941109,15883.26051,0.025641026,9.09304657,140,54,54,6000
"1683",1,0.8,0.14,0,0,0,74100,0,0,2,0,7,2.5,6,1,23,0,0,0,0,0,1,0,0,0,50.6,24478.34664,11.12556125,25.08670395,15034.86603,0.026315789,8.069324663,204,72,72,5000
"1685",1,0.8,0.14,0,0,1,74110,0,1,3,0,4,2.5,6,0,35,0,0,0,0,0,1,0,0,0,8,23772.60937,8.093897131,24.68909089,14251.65072,0.028571429,7.886262566,40,44,80,6500
"1686",1,0.8,0.14,0,0,1,86171,0,0,3,1,6,2,6,0,25,0,0,0,1,0,0,0,0,0,15.9,24389.12176,10.32528002,24.69146717,13049.35407,0.03030303,7.282331235,144,40,80,6700
"1687",1,0.8,0.14,0,0,0,86136,0,1,0,1,4,2,6,0,29,0,0,0,1,0,0,0,0,0,15.9,24570.58587,10.58375309,24.79508113,9229.607656,0.043478261,6.804188264,52,40,80,4500
"1693",0,0.8,0.14,0,0,1,87100,0,1,2,0,4,2,7,0,28,0,0,0,0,0,1,0,0,0,15.9,24123.56631,9.207964913,25.16767292,26576.94217,0.045454545,8.785712931,116,58,18,6000
"1701",1,0.8,0.14,1,0,0,74225,0,0,2,2,6,2,6,1,20,0,0,0,0,0,1,0,0,0,572.2,25132.79272,5.177633571,21.82608696,21086.09569,0.043478261,5.681742122,150,40,60,6500
"1703",0,0.8,0.14,1,0,1,76550,0,0,3,3,7,2,7,0,21,0,0,0,1,0,0,0,0,0,0,22310.04835,7.199534826,24.46813863,17201.73898,0,7.994080527,122,86,120,5500
"1732",1,0.8,0.14,1,0,1,78678,0,0,3,2,7,1,6,0,18,0,0,0,0,0,1,0,0,0,160.4,26696.13334,9.668736377,22.77894737,16692.27405,0.157894737,9.584900091,138,40,120,6000
"1734",0,0.8,0.14,1,0,0,74567,0,0,0,1,4,2,6,0,19,0,0,0,0,1,0,0,0,0,77.8,22887.98422,8.298854132,23.60992306,13385.16483,0.054054054,8.621033231,138,18,18,5500
"1737",1,0.8,0.14,1,0,1,78000,0,0,3,1,6,1.5,6,0,20,0,0,0,0,0,1,0,0,0,410.2,24618.77339,5.138058423,21.69227546,28341.91327,0.030769231,9.233189221,100,18,98,6000
"1740",1,0.8,0.14,1,0,1,82456,0,1,1,2,5,2,6,0,17,0,0,0,0,0,1,0,0,0,113.7,22403.22634,8.572430357,23.82505565,25932.75876,0.02739726,10.01106611,79,51,80,6000
"1912",1,0.8,0.2,0,0,1,72500,0,1,0,3,4,2,6,0,19,0,0,1,0,0,0,0,0,0,260.1,18216.83002,6.746201988,24.69538741,19610.43061,0,7.958473807,144,18,18,6000
"1915",1,0.8,0.2,0,0,1,75000,0,1,2,0,5,1,6,0,18,0,0,1,0,0,0,0,0,0,379.8,24879.09587,4.072467672,22.43666667,23767.52158,0.083333333,7.769626734,196,18,18,5000
"1934",0,0.8,0.2,1,0,1,82500,0,1,2,4,4,2,6,0,15,0,0,0,0,1,0,0,0,0,222.2,19103.32705,7.929163166,24.93809031,14070.95617,0,5.950500975,110,58,18,6000
"1957",0,0.8,0.2,1,0,1,78900,0,0,1,1,4,2,6,0,20,0,0,0,0,0,0,1,0,0,223.3,18951.26718,7.849092243,24.5809703,9946.579291,0,7.007051047,66,94,54,5000
"1960",1,0.8,0.2,1,0,1,78000,0,0,2,3,4,2,5,0,18,0,0,0,0,0,0,1,0,0,278,23280.40196,7.725844458,22.67400676,21379.37238,0.169811321,5.945914308,132,40,0,6000
