"","Overall","Overall","Overall","Overall","Overall","Overall","Overall","Overall","Overall","Overall","Overall","Overall","Overall","Overall","Overall","Overall","Overall","Overall","Overall","Overall"
"SEM_TRATADAS",0.476181512596188,0.418366342205495,0.134722286032704,0.0178342205148026,0.803333584968317,0.307230117719005,0.681073633835432,0.365243239433483,0.127993955115497,0.750217644145665,0.388186554651113,0.390692849315389,0.624764719152592,0.361843143222578,0.242460788584407,1.39628732191088,0.0777579455181268,0.636507582240055,0.434082497276064,0.00742730410148715
"DIST_SURCOS",0.0532286157950371,0.243462163907017,0.00801534416164704,0.0107190356282637,0.401334481212447,0.0580418426944851,0.658300393453876,0.604106504281783,0.108266626911949,1.34392813960341,0.431595981822297,0.548658691492279,0.334350978111095,0.127584273475623,0.309177651377411,0.250886666083271,0.112535412085591,1.10322284195694,0.293306890596521,0.0128994873992522
"DIST_PLANTAS",0.773521007884579,0.579544276183172,0.358095977639349,0.035276190511609,1.19898341484824,0.723422298067242,0.607021431508825,0.789948136324749,0.569390498375759,1.05573602405548,0.622855058903592,0.5056465879701,0.643545682565999,0.302147536084316,0.532901445934946,1.40712178804539,0.122287634154601,0.396409512911937,0.841168608378391,0.0106858191257752
"COLOR_ENDOSPERMO",0.144369031368739,0.220582477952759,0.0935143660043297,0.0100750470171578,0.472549810263906,0.204043034543995,0.0376277982378775,0.251127340112474,0.074125767000827,0.432247489194796,0.0680578859565643,0.110806949499931,0.468731480409715,0.134007365191375,0.189772631521108,0.701298916016689,0.025434448656309,0.159824304133532,0,0.00092043626278009
"CULT_ANT",0.687659378645095,0.27242071571468,0.254975589581251,0.0163221232849503,0.351542194743863,0.408202001326775,0.0588710880438789,0.278802901561494,0.340089622755185,0.241791224460028,0.303368865694157,0.366323468584423,0.757604306264875,0.293078627161102,0.108244052706221,0.724169033716535,0.0788270818449091,0.187304476255132,0.35781575491304,0.0072517162269825
"DRENAJE",0.599806648438552,0.341957234595904,0.234567625516305,0.0114172283502019,0.753432371561141,0.154026543867135,0.377023389582391,0.316052882533258,0.533184464715965,0.962967954036123,0.322995902627303,0.320804802481681,0.757508656585398,0.277069731768881,0.152807332351282,1.39908589192684,0.0308231609878849,0.27727328534748,0.587674284791873,0.0064700162577346
"POBLACION_20DIAS",0.31302470693252,0.414619807820828,0.395422676396723,0.0163473293167556,0.497392018265052,0.563912862021213,0.609882593419282,0.447601081793819,0.295974438031653,0,0.338884337147178,0.396091140986732,0.521395242350745,0.498539891523649,0.275951127031055,0.946245658119946,0.0842697644486595,0,0.662051430422878,0.00650781268819273
"TIPO_MATERIAL",1.25027592375965,0.654418351472575,0.355065354941383,0.0262292985299408,1.33873115559455,0.79028834104665,0.451722971031773,0.438172525110161,0.859046972405708,2.10695889228136,0.563372187253493,0.408471046543738,1.6029307788855,0.427746133578921,0.468050044624674,2.6998524124044,0.224720719339086,1.49907855068405,0.424368691231998,0.0253456435921087
"ALMACENAMIENTO_FINCA",0.325766218535816,0.198335813119332,0,0.0359488261398927,0.377585892024165,0.32010699931662,0.00535461303154799,0.241702651619917,0.245423157312326,0.270720450621409,0.161383229122429,0.230362166848426,0.244051671981524,0.140203720155873,0.161756889029568,0.635782590392001,0.0657485454016411,0.273893016814335,0.217034731833233,0.00316903802402462
"ContMalQui",0.520679957998642,0.437653894457757,0.331367756083467,0.0406456410013159,1.00364502173062,0.392205708947466,0,0.205035247446877,0.434298451481643,1.37355582314985,0.368340580535311,0.191995435089536,0.826827323580402,0.386511834334902,0.426462663931571,0.953401070855366,0.042422973537014,0.62334841280988,0.463730190959823,0.00609781990175234
