"","Overall","Overall","Overall","Overall","Overall","Overall","Overall","Overall","Overall","Overall"
"SEM_TRATADAS",0,-1.09450379578285,0,0,0.0490895916607112,0,-0.0203937975256099,0,0,-0.0972569185847816
"DIST_SURCOS",0,0,0,0,0,-0.0828284804994805,0,0,-0.270452344430284,0
"DIST_PLANTAS",0,0,0,0,0,0,0,0,0,0
"CULT_ANT",0,0,0,0,0,0,0,0,0,0
"POBLACION_20DIAS",0,0,0,0,0.0179165007216449,0,0,0,0,0
"TIPO_MATERIAL",0,0,0,0,0,0,0,0,0,0
"ALMACENAMIENTO_FINCA",0,0,0,0,0,0,0,0,0,0
"ContMalQui",-0.997410933746536,-0.453493175430957,0.0668257103847225,0,0.234583022893777,-0.196365144562759,-3.75299290769381,0,-0.0467643104579705,-0.0202303016675913
"ContPlaQui",-3.67242043707029,10.7680520155845,-0.215916116334236,-0.52681725064392,-4.72884791450433,7.97153032538641,-2.08065220115956,-0.723247845626885,2.67752510382455,1.66700380548033
"CanFerQui",6.22936271992914,-0.25445905737034,1.7468656090837,3.68889582589438,5.75664743161637,1.10464263216779,8.15072839990239,0.943481837099353,1.36691273896372,1.40229839063148
"PENDIENTE",-0.417767934622661,-0.438887572604924,0.561739278171836,0,-1.65875243850625,0.169617449786454,1.11006943510985,-0.102589396416209,-0.196532706984601,-8.52484557563639e-05
"PH",-3.08280809381263,-3.33074467570335,5.32962889774512,-0.205245761944485,24.5766098086976,-1.57254319567246,-2.33198569709505,0.637278768970276,-0.572704559074934,-0.0493369505709636
"MAT_ORGANICA",0,-0.667231460186366,0,0.0098394617802933,0,-0.0389910519878008,0,0,0.00540871327483389,0
"DRE_INTERN",-0.742478574866203,1.39216798386799,0,-0.0101682041930363,0,0,0,0,-0.211300803858703,0
"PROF_EFEC",0,-0.724129657499572,2.09653911549773,0.0838757341279666,0.499165048804012,-0.0549401884275228,0.567968533999691,0.203355190383677,-0.0618666812352887,0.27456148136748
"PText",22.3767125424798,-1.89368754664221,1.91191180016263,1.59193553638321,7.39651256371923,-0.394819131698027,-9.52669918598032,2.73631765069044,0.766065814952774,0.463848009240835
"Temp_Max_Avg_Veg",-0.0797131636960036,1.00706114777822,-0.146062795950699,0,-1.91063332041136,0,-0.451413912213473,0,0,0
"Temp_Min_Avg_Veg",5.69500522493932,24.435989688218,2.29116704325253,3.85501521363534,-3.93217072714137,4.27783768083178,21.9095008519779,2.26607549268363,2.47249334589233,3.07687341831481
"Temp_Avg_Veg",-0.56312099312728,1.22903809445638,-0.235366592777051,0,0.871097954634917,-0.0594152587649958,-1.4081100233088,0,-0.0150881377562046,0.210058083417157
"Diurnal_Range_Avg_Veg",-0.259121388712547,-0.459321026804891,0,0,0,0,-0.385865354760808,0,0,0
