"ID","SEM_TRATADAS","DIST_SURCOS","DIST_PLANTAS","COLOR_ENDOSPERMO","CULT_ANT","DRENAJE","POBLACION_20DIAS","TIPO_MATERIAL","ALMACENAMIENTO_FINCA","ContMalQui","ContPlaQui","CanFerQui","PENDIENTE","PH","MAT_ORGANICA","DRE_INTERN","PROF_EFEC","PText","Temp_Max_Avg_Veg","Temp_Min_Avg_Veg","Temp_Avg_Veg","Diurnal_Range_Avg_Veg","Sol_Ener_Accu_Veg","Rain_Accu_Veg","Rain_10_Freq_Veg","Temp_Min_15_Freq_Veg","Rhum_Avg_Veg","Rhum_sd_Veg","Temp_Max_Avg_For","Temp_Min_Avg_For","Temp_Avg_For","Diurnal_Range_Avg_For","Sol_Ener_Accu_For","Rain_Accu_For","Rain_10_Freq_For","Temp_Min_15_Freq_For","Rhum_Avg_For","Rhum_sd_For","Temp_Max_Avg_Mad","Temp_Min_Avg_Mad","Temp_Avg_Mad","Diurnal_Range_Avg_Mad","Sol_Ener_Accu_Mad","Rain_Accu_Mad","Rain_10_Freq_Mad","Temp_Min_15_Freq_Mad","Rhum_Avg_Mad","Rhum_sd_Mad","TotN","Totp","Totk","RDT"
"2239","SI",0.8,0.15,"Blanco","Maiz","VERDADERO",75000,"Hibrido","NO",3,2,3,1.5,6.5,"MEDIA","BUENO",30,"FAr",32.64807692,23.02115385,27.83461538,9.626923077,45058.54242,321.2,0.096153846,0,79.08333333,8.870217462,32.78333333,23.37333333,28.07833333,9.41,25534.31276,75.4,0.05,0,76.36111111,9.770686643,35.79142857,23.58571429,29.68857143,12.20571429,15764.29665,43.2,0.057142857,0,65.54642857,8.891960983,107,15,15,5000
"2245","SI",0.85,0.15,"Blanco","Arroz","VERDADERO",75000,"OGM","NO",2,4,8,1.8,6,"MEDIA","BUENO",32,"A",32.53206988,22.26590261,27.39898625,10.26616727,42176.7087,127.2,0.038461538,0,80.45662962,7.345106757,32.79666667,21.835,27.31583333,10.96166667,24702.28852,42.4,0.016666667,0,77.38379603,7.676194668,33.7230604,22.51152194,28.11729117,11.21153846,11602.43248,68.6,0.115384615,0,77.30319408,6.53311079,253,54,54,5000
"2246","NO",0.85,0.14,"Blanco","Arroz","VERDADERO",80000,"OGM","NO",2,1,5,1.5,6.5,"BAJA","LENTO A MUY LENTO",30,"A",32.53206988,22.26590261,27.39898625,10.26616727,42176.7087,127.2,0.038461538,0,80.45662962,7.345106757,32.79666667,21.835,27.31583333,10.96166667,24702.28852,42.4,0.016666667,0,77.38379603,7.676194668,33.84849451,22.69444045,28.27146748,11.15405405,16489.62615,89.8,0.081081081,0,76.88015071,6.583456945,116,58,78,4000
"2247","SI",0.85,0.2,"Blanco","Arroz","VERDADERO",70000,"OGM","NO",2,4,7,1.7,6,"MEDIA","BUENO",53,"FAr",32.2656256,22.32061218,27.29311889,9.945013428,41769.94425,280.2,0.076923077,0,81.95910502,6.543080402,32.22333333,22.03,27.12666667,10.19333333,24385.91914,45.2,0.016666667,0,80.31455471,7.25756758,33.98555826,22.0288916,28.00722493,11.95666667,13136.50893,51.2,0.066666667,0,75.29778551,7.636553469,118,58,138,3100
"2251","NO",0.8,0.16,"Blanco","Arroz","VERDADERO",71000,"OGM","NO",3,3,4,1.8,6.5,"MEDIA","LENTO A MUY LENTO",21,"FA",35.71293559,23.53173213,29.62233386,12.18120346,37218.18705,12.1,0,0,68.4327728,9.345043804,36.12942302,22.47166667,29.30054484,13.65775635,20702.13023,1.4,0,0,71.87599857,8.094487367,38.91508884,22.76818182,30.84163533,16.14690702,16560.5569,0.5,0,0,59.95346108,8.632690021,51,58,78,5000
"2253","NO",0.85,0.16,"Blanco","Arroz","VERDADERO",70000,"OGM","NO",2,3,5,1.8,7,"MEDIA","BUENO",45,"F",32.26370253,22.3561891,27.30994581,9.907513428,41792.85334,280,0.076923077,0,82.00254845,6.494925249,32.17395835,22.065,27.11947918,10.10895835,24277.78337,56.8,0.033333333,0,80.63151065,7.037450309,33.97221029,22.1583214,28.06526584,11.81388889,15855.64732,70,0.083333333,0,74.79391678,7.318300938,125,18,78,4500
"2264","SI",0.85,0.16,"Blanco","Arroz","VERDADERO",70000,"OGM","NO",3,2,6,1.5,6,"MEDIA","BUENO",61,"F",32.69080066,22.1649773,27.42788898,10.52582336,42905.41282,138.2,0.048076923,0,79.54886427,7.611389097,33.2757605,21.88242716,27.57909383,11.39333333,25256.44479,76.2,0.05,0,75.90660734,6.380425745,34.20370416,22.75727559,28.48048988,11.44642857,12684.77452,63.6,0.071428571,0,75.04072512,7.139990236,116,58,138,5000
"2286","NO",0.8,0.16,"Blanco","Arroz","VERDADERO",71000,"OGM","NO",2,2,6,1.5,6,"MEDIA","BUENO",64,"F",32.53558851,22.23769046,27.38663949,10.29789804,42654.25232,128.2,0.038461538,0,80.38623241,7.399510804,32.82260508,21.85260508,27.33760508,10.97,24723.79951,52.4,0.033333333,0,77.24612097,7.587855158,34.07820382,22.68631193,28.38225787,11.39189189,16761.2129,84.4,0.081081081,0,76.16666311,6.176744016,184,40,60,2200
"2288","SI",0.9,0.16,"Blanco","Arroz","VERDADERO",69500,"OGM","NO",2,1,4,1.6,6,"MEDIA","BUENO",70,"FrL",32.04351022,22.51388141,27.27869581,9.529628813,41368.69066,300.6,0.086538462,0,83.30164043,5.841241101,31.98548826,22.32572777,27.15560801,9.659760488,24078.07546,64.8,0.033333333,0,82.59952575,6.542005967,33.36585642,22.00369426,27.68477534,11.36216216,15543.05351,46.8,0.054054054,0,75.90540336,7.149779982,138,18,18,4100
"2305","NO",0.8,0.15,"Blanco","Maiz","VERDADERO",74000,"Hibrido","NO",2,1,3,1.5,6.5,"MEDIA","BUENO",50,"FAr",32.48653846,23.00288462,27.74471154,9.483653846,45012.33349,330.8,0.096153846,0,80.25240385,7.901605557,32.73833333,23.21333333,27.97583333,9.525,26167.58548,76.6,0.05,0,78.01736111,8.50027449,35.37837838,23.5972973,29.48783784,11.78108108,16017.33014,43.2,0.054054054,0,65.63851351,8.385663552,98,18,18,2500
