"","DIST_SURCOS","DIST_PLANTAS","POBLACION_20DIAS","ContMalQui","ContPlaQui","CanFerQui","PENDIENTE","PH","PROF_EFEC","Temp_Max_Avg_Veg","Temp_Min_Avg_Veg","Temp_Avg_Veg","Diurnal_Range_Avg_Veg","Sol_Ener_Accu_Veg","Rain_Accu_Veg","Rain_10_Freq_Veg","Rhum_Avg_Veg","Rhum_sd_Veg","Temp_Max_Avg_For","Temp_Min_Avg_For","Temp_Avg_For","Diurnal_Range_Avg_For","Sol_Ener_Accu_For","Rain_Accu_For","Rain_10_Freq_For","Rhum_Avg_For","Rhum_sd_For","Temp_Max_Avg_Mad","Temp_Min_Avg_Mad","Temp_Avg_Mad","Diurnal_Range_Avg_Mad","Sol_Ener_Accu_Mad","Rain_Accu_Mad","Rain_10_Freq_Mad","Rhum_Avg_Mad","Rhum_sd_Mad","TotN","Totp","Totk","RDT"
"DIST_SURCOS",1,0.153313482017618,-0.0292807467075537,-0.115865447577109,0.044252986402923,0.209492249070595,0.04610988537295,0.155875747965576,0.223295205015454,-0.0269684192136203,0.00577218050955023,-0.0163448928174337,-0.0397327745905726,-0.219571472879228,-0.0388388175913244,-0.0442800533306323,0.0233211200151342,-0.174414785460865,-0.0266800349637146,-0.0970439781777314,-0.0536424018068918,0.010365418103349,-0.176716601434657,0.0176738199285571,-0.0370492207971327,0.122606441939695,-0.244044747107877,-0.1110806975305,-0.533441672281103,-0.197317901533232,-0.0118175741632555,-0.209662553873532,-0.0644667667881266,-0.061756357095592,0.180668966623153,-0.24205780552328,0.247959635674173,0.0756597491277729,0.0553752322075489,0.200194980390922
"DIST_PLANTAS",0.153313482017618,1,-0.553296058831926,-0.0366583572493482,0.353994056492273,0.196392427873084,0.137071890538347,-0.119246239393013,0.22586139533901,-0.00182928980381034,-0.0198733919936715,-0.00923059113581198,0.0126925616171219,-0.118397689806135,0.0616458630691734,0.0349007623222248,0.0167492066215219,-0.121810408339871,-0.0241648646690396,-0.0842668173682481,-0.0474267821084339,0.0079467180142878,-0.102722548753192,-0.0240791502303537,-0.0562324377146031,0.0930342811642954,-0.129580099745248,-0.0154261868869883,-0.39111831273904,-0.0828692436360722,0.0598358779913126,-0.181827978304192,-0.116299523054771,-0.0874960707669413,0.0466645298006949,0.0213645848345868,-0.073207886314607,0.068140060282662,0.363712284802082,-0.123662152473524
"POBLACION_20DIAS",-0.0292807467075537,-0.553296058831926,1,-0.203912071667473,-0.242136280759792,-0.220368092492582,-0.073244175411675,0.0401904889210516,-0.11289325127635,0.000906529189508146,0.0427673978733982,0.0177677761254154,-0.0312860979118986,0.0741108752472131,-0.00747809073989411,0.0104389341224276,-0.0117118173792024,0.118894034966437,0.00492674429302985,0.155814602569244,0.0539363954259486,-0.0566944415158783,0.0619615795339437,0.0874904991374022,0.0684504460554482,-0.0910966351270625,0.203682596668651,-0.0158417631538482,0.36565956028554,0.0491431060361127,-0.0873429005259742,0.245581356659554,0.0867963684140661,0.0360940832805784,-0.000445220091631813,0.11387221384705,0.0364832376245044,-0.198488803975128,-0.229269269343561,-0.0910364021262052
"ContMalQui",-0.115865447577109,-0.0366583572493482,-0.203912071667473,1,0.208097083287663,-0.114792115352045,-0.1612666001464,-0.1409608843274,-0.309102904681573,-0.243219315530899,0.0119808552323115,-0.163471347073489,-0.327905716054809,0.346225762145855,0.206615845000256,0.20618527883407,0.145639576906651,-0.0644536238310825,-0.214453438400258,0.0513540567467444,-0.165706562744066,-0.246963979909378,0.292089277477709,0.267411565929594,0.283415426511416,0.264859319666924,-0.278592906846159,-0.26548317957096,-0.120233367687451,-0.269571927516445,-0.252151879880746,-0.229302683702318,0.0587644519064886,0.0628254302776613,0.268878880267234,-0.243411098503135,-0.437950395775939,0.362311794029642,0.100633284093232,0.124085526083804
"ContPlaQui",0.044252986402923,0.353994056492273,-0.242136280759792,0.208097083287663,1,0.348618628903934,0.153853709835893,0.254948873450636,-0.194977959469796,0.111624727843663,0.252981816721696,0.178620048781554,-0.0457793963777529,-0.271419450226715,-0.186418597073322,-0.205815384185389,-0.209097523786474,0.18531660869334,0.124637767709627,0.12407731273322,0.145455705975914,0.0823843179002122,-0.266514234257134,-0.142429488445329,-0.184697474523955,-0.103900862014028,0.116119813264793,0.0964997705315799,-0.392261833260356,0.0217120862184193,0.176192459244818,-0.270149900952187,-0.208113854537757,-0.0936775294293114,-0.0166558840848588,-0.146911028135344,0.0850761649476802,0.413730772775081,0.353477212655267,0.422139830491885
"CanFerQui",0.209492249070595,0.196392427873084,-0.220368092492582,-0.114792115352045,0.348618628903934,1,0.0289462461511571,0.221388210283863,-0.136756440784684,0.24960581812493,-0.0163019898401318,0.166158046611242,0.339558197344978,-0.324481642712082,-0.293652173583593,-0.289333940786854,-0.18828764849611,0.0666458454355831,0.24958980067844,-0.30955480056028,0.113097275894695,0.386657988552601,-0.28447818749877,-0.320880134695084,-0.334636934583403,-0.175037102362275,0.0047136020809953,0.223609298110484,-0.334383955989289,0.150833811052003,0.296858677367278,-0.512849219671357,-0.160535223441338,-0.0616552599297441,-0.157415110655773,-0.0436002668018868,0.660675941630309,0.53385390408262,0.651062603709437,0.432417889709498
"PENDIENTE",0.04610988537295,0.137071890538347,-0.073244175411675,-0.1612666001464,0.153853709835893,0.0289462461511571,1,0.105223724433132,0.107678237744863,0.392445460894472,0.349368572617446,0.411538469274771,0.249127453858397,-0.526980975103769,-0.222594060902095,-0.238314952325675,-0.359040416436624,0.201855911573675,0.362299647625733,0.22404437109721,0.379187863360174,0.293752955024144,-0.538727637549621,-0.119605253562315,-0.170463151702025,-0.201939938386962,-0.0363090144534652,0.305805500991721,-0.288467083850944,0.235816532878719,0.373242013358273,0.00478270443974378,-0.36447540081089,-0.380151866080701,-0.273696892589516,0.0817811691866606,0.079863853811655,0.160220844245552,-0.244373261035888,0.224218590146638
"PH",0.155875747965576,-0.119246239393013,0.0401904889210516,-0.1409608843274,0.254948873450636,0.221388210283863,0.105223724433132,1,-0.263934451147238,0.164959770077077,0.12279205973069,0.16334202816461,0.122987768079944,-0.323555737239304,-0.134921777699903,-0.141728122156824,-0.140082029184016,0.125635007813971,0.133979489630941,0.00289010712394689,0.114692254708139,0.14039673307295,-0.326046478498912,-0.190857771610332,-0.200047302418036,-0.0261807841404748,0.0785388328006054,0.225133060216209,-0.149274894836588,0.184645897172882,0.262545051221752,0.219925299166767,-0.126263555342622,-0.159573364272211,-0.24026429809689,-0.0392651978073563,0.104100410015072,0.328242272713566,0.0344978507706797,0.333645938059843
"PROF_EFEC",0.223295205015454,0.22586139533901,-0.11289325127635,-0.309102904681573,-0.194977959469796,-0.136756440784684,0.107678237744863,-0.263934451147238,1,-0.28874096229411,-0.10706415649832,-0.24267744866049,-0.2971809527888,0.0831301010686358,0.369365185170045,0.37904895783198,0.284478359777581,-0.397469687901554,-0.290866985284026,0.161886861055054,-0.195299554692969,-0.371602943225602,0.0979375146482594,0.418197192447666,0.410996252084195,0.276144723744271,-0.225910024678929,-0.365120457531679,-0.225461537169048,-0.381259164924032,-0.335131033734957,0.28547239423314,0.116795764879393,0.0103320239879751,0.362071327087576,0.151790604427291,-0.0621818798542537,-0.203064079746993,0.0345978724036104,-0.234456297226097
"Temp_Max_Avg_Veg",-0.0269684192136203,-0.00182928980381034,0.000906529189508146,-0.243219315530899,0.111624727843663,0.24960581812493,0.392445460894472,0.164959770077077,-0.28874096229411,1,0.650415534187144,0.952535132973973,0.816908583815077,-0.831530319718019,-0.789415677373737,-0.79836595064181,-0.926079942395349,0.820372926105526,0.983546519873505,0.264905566292666,0.919770359683498,0.933846929278905,-0.853209704047372,-0.553789698074129,-0.575536702539891,-0.83596270077688,0.379843939937028,0.932721191458419,0.163089720336987,0.901716066613427,0.936170508416101,-0.287436020315288,-0.827912568533281,-0.790861645539799,-0.884110679031491,0.0852966927979092,0.14915516194724,0.179585352283731,0.0368589344177832,0.329829996209612
