"","Overall","Overall","Overall","Overall","Overall","Overall","Overall","Overall","Overall","Overall","Overall","Overall","Overall","Overall","Overall","Overall","Overall","Overall","Overall","Overall"
"SEM_TRATADAS",0.7987065824421,1.09756315011359e-07,0.815245307549603,0.0540088070940208,0.587981845092936,0.148559120786818,0.61785949012019,0.24713205134039,0.0414995389167176,0.971585824741357,0.737681536532773,0.159533928622496,0.805601385538293,0.00716080689927296,0.118616848973434,0.00423513098311228,0.0925256451356052,0.876456639680574,0.540149199888009,0.56509084860021
"DIST_SURCOS",0.424804048378797,1.90437107562146e-07,0.545915582424651,0.042273912916341,0.975226915356193,0.177766980835758,0.576873786251302,0.168516491357048,0.0118879723563544,1.38785042223203,0.711843682670417,0.124269726618481,0.666710910921751,0.011022498541022,0.187219115044034,0.0199550914963948,0.173148419909634,0.931156819573359,0.229067894971897,0.250369040099734
"DIST_PLANTAS",0.523874080039997,1.05067919600456e-07,0.537383605012914,0.0440225127744056,0.872062608647931,0.241032771934695,0.77015209913208,0.0992706425743566,0.024606410190217,1.46206694668061,0.549946148623,0.0731791658242287,1.07793598632144,0.00667843431006449,0.260186337891659,0.0326828515655524,0.124647758541051,0.647833157763496,0.110857564990566,0.075256835118079
"CULT_ANT",0.868869739148185,8.32157897656883e-08,0.566159194941394,0.0302723933639519,0.704399538228305,0.177134565559092,0.843325673249907,0.100108670169177,0.00650612114656464,0.960040271435052,0.427449998214197,0.0465477757262026,0.651803924636141,0.0115169376346564,0.213057676344539,0.0117644266915882,0.178038965912396,0.647833157763496,0.00969700357729338,0.180443098320798
"POBLACION_20DIAS",0.426198558812991,9.88455774494011e-08,0.907688987320554,0.0273945281893177,0.721287535653673,0.235311791435734,0.908665773032957,0.117236358078784,0.0115617409870352,0.873919145099754,0.462761322441997,0.0948077547165523,1.39993266555689,0.00757350821995862,0.236630846245318,0.0142589960654047,0,0.202378110214499,0.0546293063881631,0.20863528948115
"TIPO_MATERIAL",0.548346150062187,1.38680281256589e-07,0.745784411811712,0.0550701852358881,0.644128307399796,0.172860412084096,0.712396106375514,0.114006308675057,0.0211336534986433,1.06417870705248,0.859847094430209,0.108717359284238,0.793273575100843,0.0143618909143971,0.24569811629319,0.0341994463743402,0.160660357608725,0.647833157763496,0.0767530004917255,0.414324699857305
"ALMACENAMIENTO_FINCA",0.750929002688807,7.15092262103163e-08,0.699201385140926,0.0596963524611721,1.17389392052153,0.184456820753553,0.833728892077823,0.143641683677767,0.0526379626097504,1.65749657358699,0.936432591851081,0.161890789147723,0.937596441857454,0.00983676522938288,0.260186337891659,0.012611118669825,0.160660357608725,0.647833157763496,0.317599415827948,0.444063917161825
"ContMalQui",1.17376862691293,1.64863586993411e-07,0.854935368873239,0.133047945119329,1.65573827741431,0.306219802137253,0.780139455205129,0.243802224885597,0.0693296109864011,1.36356257668151,0.76042186935733,0.146534923477529,1.25338304323931,0.0121928888894653,0.31845060494085,0.0472614682113821,0.210314784555241,1.00458594592864,0.438934749226788,0.75189546237166
"ContPlaQui",0.640390444040628,1.71383041602359e-07,1.28384354881094,0.0519351027891488,1.33400916016364,0.382590574590484,0.82677994010364,0.535938178675377,0.140798464432454,2.11289819694352,0.965185777904662,0.114406652113127,1.60608165644154,0.0278509616490824,0.184102969914852,0.105634274363589,0.247291709455013,1.07728016655676,2.4085359819093,0.476025811785311
"CanFerQui",1.46047988292625,1.67289275333943e-07,0.634284290009968,0.0702242476783307,2.17585991666212,0.471534514927244,1.29291495532504,0.216241769914703,0.0590028002997677,2.01028566557169,1.35233509199315,0.300469889710289,1.65749587343792,0.0547939241581815,0.294444785404449,0.0795929487440302,0.291727717746758,0.97342277347587,0.644709701286605,1.16757358573758
